"","ind","nest","chick","sex","year","age","weight","hatch_day"
"1","19b13",19,"blue","m",2013,29,568,2013-07-09
"2","19b13",19,"blue","m",2013,23,543,2013-07-09
"3","19b13",19,"blue","m",2013,21,516,2013-07-09
"4","19b13",19,"blue","m",2013,16,368,2013-07-09
"5","19b13",19,"blue","m",2013,11,207,2013-07-09
"6","19b13",19,"blue","m",2013,5,63,2013-07-09
"7","19bk13",19,"black","m",2013,26,572,2013-07-12
"8","19bk13",19,"black","m",2013,20,513,2013-07-12
"9","19bk13",19,"black","m",2013,18,306,2013-07-12
"10","19bk13",19,"black","m",2013,15,299,2013-07-12
"11","19bk13",19,"black","m",2013,13,294,2013-07-12
"12","19bk13",19,"black","m",2013,8,161,2013-07-12
"13","19bk13",19,"black","m",2013,2,42,2013-07-12
"14","19g13",19,"green","f",2013,29,795,2013-07-09
"15","19g13",19,"green","f",2013,23,690,2013-07-09
"16","19g13",19,"green","f",2013,21,532,2013-07-09
"17","19g13",19,"green","f",2013,18,500,2013-07-09
"18","19g13",19,"green","f",2013,16,420,2013-07-09
"19","19g13",19,"green","f",2013,11,219,2013-07-09
"20","19g13",19,"green","f",2013,5,63,2013-07-09
"21","19r13",19,"red","m",2013,29,608,2013-07-09
"22","19r13",19,"red","m",2013,23,557,2013-07-09
"23","19r13",19,"red","m",2013,21,538,2013-07-09
"24","19r13",19,"red","m",2013,18,540,2013-07-09
"25","19r13",19,"red","m",2013,16,401,2013-07-09
"26","19r13",19,"red","m",2013,11,220,2013-07-09
"27","19r13",19,"red","m",2013,5,63,2013-07-09
"28","23g13",23,"green","m",2013,31,405,2013-07-07
"29","23g13",23,"green","m",2013,23,410,2013-07-07
"30","23g13",23,"green","m",2013,18,270,2013-07-07
"31","23g13",23,"green","m",2013,13,262,2013-07-07
"32","23g13",23,"green","m",2013,7,91,2013-07-07
"33","23g13",23,"green","m",2013,1,34,2013-07-07
"34","23r13",23,"red","f",2013,31,620,2013-07-07
"35","23r13",23,"red","f",2013,23,606,2013-07-07
"36","23r13",23,"red","f",2013,18,403,2013-07-07
"37","23r13",23,"red","f",2013,13,352,2013-07-07
"38","23r13",23,"red","f",2013,7,121,2013-07-07
"39","23r13",23,"red","f",2013,1,37,2013-07-07
"40","28b13",28,"blue","m",2013,24,486,2013-07-14
"41","28b13",28,"blue","m",2013,18,471,2013-07-14
"42","28b13",28,"blue","m",2013,13,299,2013-07-14
"43","28b13",28,"blue","m",2013,9,168,2013-07-14
"44","28b13",28,"blue","m",2013,4,86,2013-07-14
"45","28g13",28,"green","f",2013,27,790,2013-07-11
"46","28g13",28,"green","f",2013,21,695,2013-07-11
"47","28g13",28,"green","f",2013,16,500,2013-07-11
"48","28g13",28,"green","f",2013,12,264,2013-07-11
"49","28g13",28,"green","f",2013,7,131,2013-07-11
"50","28r13",28,"red","f",2013,27,815,2013-07-11
"51","28r13",28,"red","f",2013,21,742,2013-07-11
"52","28r13",28,"red","f",2013,16,540,2013-07-11
"53","28r13",28,"red","f",2013,12,283,2013-07-11
"54","28r13",28,"red","f",2013,7,146,2013-07-11
"55","31b13",31,"blue","f",2013,25,703,2013-07-22
"56","31b13",31,"blue","f",2013,22,686,2013-07-22
"57","31b13",31,"blue","f",2013,17,542,2013-07-22
"58","31b13",31,"blue","f",2013,13,395,2013-07-22
