ind,nest,chick,treatment,survival,brood,hatch,sex,year,cond,asynchrony,july,age,weight,tarsus,headbill,culmen,tc,tarsusratio,runt2,runt3,runt4,runt,c,y
19b13,19,blue,1,1,4,3,m,2013,d,0,9,29,568,NA,NA,NA,NA,NA,1,1,0,0,b,13
19b13,19,blue,1,1,4,3,m,2013,d,0,9,23,543,NA,NA,NA,NA,NA,1,1,0,0,b,13
19b13,19,blue,1,1,4,3,m,2013,d,0,9,21,516,NA,NA,NA,NA,NA,1,1,0,0,b,13
19b13,19,blue,1,1,4,3,m,2013,d,0,9,16,368,NA,NA,NA,NA,NA,1,1,0,0,b,13
19b13,19,blue,1,1,4,3,m,2013,d,0,9,11,207,NA,NA,NA,NA,NA,1,1,0,0,b,13
19b13,19,blue,1,1,4,3,m,2013,d,0,9,5,63,NA,NA,NA,NA,NA,1,1,0,0,b,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,26,572,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,20,513,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,18,306,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,15,299,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,13,294,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,8,161,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19bk13,19,black,1,1,4,4,m,2013,d,3,12,2,42,NA,NA,NA,NA,NA,1,1,1,1,bk,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,29,795,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,23,690,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,21,532,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,18,500,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,16,420,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,11,219,NA,NA,NA,NA,NA,1,0,0,0,g,13
19g13,19,green,1,1,4,2,f,2013,d,0,9,5,63,NA,NA,NA,NA,NA,1,0,0,0,g,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,29,608,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,23,557,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,21,538,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,18,540,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,16,401,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,11,220,NA,NA,NA,NA,NA,0,0,0,0,r,13
19r13,19,red,1,1,4,1,m,2013,d,0,9,5,63,NA,NA,NA,NA,NA,0,0,0,0,r,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,31,405,NA,NA,NA,NA,NA,1,0,0,0,g,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,23,410,NA,NA,NA,NA,NA,1,0,0,0,g,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,18,270,NA,NA,NA,NA,NA,1,0,0,0,g,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,13,262,NA,NA,NA,NA,NA,1,0,0,0,g,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,7,91,NA,NA,NA,NA,NA,1,0,0,0,g,13
23g13,23,green,0,1,3,2,m,2013,d,0,7,1,34,NA,NA,NA,NA,NA,1,0,0,0,g,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,31,620,NA,NA,NA,NA,NA,0,0,0,0,r,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,23,606,NA,NA,NA,NA,NA,0,0,0,0,r,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,18,403,NA,NA,NA,NA,NA,0,0,0,0,r,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,13,352,NA,NA,NA,NA,NA,0,0,0,0,r,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,7,121,NA,NA,NA,NA,NA,0,0,0,0,r,13
23r13,23,red,0,1,3,1,f,2013,d,0,7,1,37,NA,NA,NA,NA,NA,0,0,0,0,r,13
28b13,28,blue,1,1,3,3,m,2013,d,3,14,24,486,NA,NA,NA,NA,NA,1,1,0,1,b,13
28b13,28,blue,1,1,3,3,m,2013,d,3,14,18,471,NA,NA,NA,NA,NA,1,1,0,1,b,13
28b13,28,blue,1,1,3,3,m,2013,d,3,14,13,299,NA,NA,NA,NA,NA,1,1,0,1,b,13
28b13,28,blue,1,1,3,3,m,2013,d,3,14,9,168,NA,NA,NA,NA,NA,1,1,0,1,b,13
28b13,28,blue,1,1,3,3,m,2013,d,3,14,4,86,NA,NA,NA,NA,NA,1,1,0,1,b,13
28g13,28,green,1,1,3,2,f,2013,d,0,11,27,790,NA,NA,NA,NA,NA,1,0,0,0,g,13
28g13,28,green,1,1,3,2,f,2013,d,0,11,21,695,NA,NA,NA,NA,NA,1,0,0,0,g,13
28g13,28,green,1,1,3,2,f,2013,d,0,11,16,500,NA,NA,NA,NA,NA,1,0,0,0,g,13
28g13,28,green,1,1,3,2,f,2013,d,0,11,12,264,NA,NA,NA,NA,NA,1,0,0,0,g,13
28g13,28,green,1,1,3,2,f,2013,d,0,11,7,131,NA,NA,NA,NA,NA,1,0,0,0,g,13
28r13,28,red,1,1,3,1,f,2013,d,0,11,27,815,NA,NA,NA,NA,NA,0,0,0,0,r,13
28r13,28,red,1,1,3,1,f,2013,d,0,11,21,742,NA,NA,NA,NA,NA,0,0,0,0,r,13
28r13,28,red,1,1,3,1,f,2013,d,0,11,16,540,NA,NA,NA,NA,NA,0,0,0,0,r,13
28r13,28,red,1,1,3,1,f,2013,d,0,11,12,283,NA,NA,NA,NA,NA,0,0,0,0,r,13
28r13,28,red,1,1,3,1,f,2013,d,0,11,7,146,NA,NA,NA,NA,NA,0,0,0,0,r,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,25,703,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,22,686,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,17,542,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,13,395,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,8,156,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,3,48,NA,NA,NA,NA,NA,1,1,0,0,b,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,26,721,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,23,740,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,18,573,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,14,425,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,9,196,NA,NA,NA,NA,NA,1,0,0,0,g,13
