ind,site,hatch,relhatch,yday,july,year,treatment,nestyear,first,last
4r13,4,a,1,197,12,2013,1,4y2013,1,30
4g13,4,b,-1,195,13,2013,1,4y2013,1,30
4b13,4,c,-2,194,14,2013,1,4y2013,1,30
4bk13,4,d,0,196,15,2013,1,4y2013,1,30
7r13,7,a,-4,192,10,2013,0,7y2013,1,30
7g13,7,b,-4,192,10,2013,0,7y2013,1,30
7b13,7,c,-3,193,11,2013,0,7y2013,1,30
7bk13,7,d,0,196,14,2013,0,7y2013,1,30
8r13,8,a,-1,195,13,2013,0,8y2013,1,30
8g13,8,b,0,196,14,2013,0,8y2013,1,30
8b13,8,c,2,198,16,2013,0,8y2013,1,30
8bk13,8,d,3,199,17,2013,0,8y2013,1,30
19r13,19,a,-5,191,9,2013,1,19y2013,1,30
19g13,19,b,-5,191,9,2013,1,19y2013,1,30
19b13,19,c,-5,191,9,2013,1,19y2013,1,30
19bk13,19,d,-2,194,12,2013,1,19y2013,1,30
22r13,22,a,2,198,16,2013,0,22y2013,1,9
22g13,22,b,3,199,17,2013,0,22y2013,1,8
22b13,22,c,5,201,19,2013,0,22y2013,1,2
23r13,23,a,-7,189,7,2013,0,23y2013,1,30
23g13,23,b,-7,189,8,2013,0,23y2013,1,30
23b13,23,c,-2,194,12,2013,0,23y2013,1,6
28r13,28,a,-3,193,12,2013,1,28y2013,1,30
28g13,28,b,-3,193,13,2013,1,28y2013,1,30
28b13,28,c,0,196,14,2013,1,28y2013,1,30
31r13,31,a,6,202,20,2013,0,31y2013,1,30
31b13,31,b,8,204,21,2013,0,31y2013,1,30
31g13,31,c,7,203,22,2013,0,31y2013,1,30
31bk13,31,d,11,207,24,2013,0,31y2013,1,18
33r13,33,a,-5,191,9,2013,1,33y2013,1,30
33g13,33,c,-3,193,11,2013,1,33y2013,1,30
33b13,33,d,-3,193,11,2013,1,33y2013,1,30
33bk13,33,b,-4,192,10,2013,1,33y2013,1,30
35r13,35,a,2,198,16,2013,0,35y2013,1,30
35g13,35,b,5,201,19,2013,0,35y2013,1,30
39r13,39,a,2,198,15,2013,1,39y2013,1,9
39g13,39,b,1,197,16,2013,1,39y2013,1,30
39b13,39,c,5,201,19,2013,1,39y2013,1,30
67r13,67,a,0,196,14,2013,1,67y2013,1,30
67g13,67,d,4,200,18,2013,1,67y2013,1,3
67b13,67,b,1,197,15,2013,1,67y2013,1,30
67bk13,67,c,3,199,17,2013,1,67y2013,1,30
72r13,72,a,2,198,16,2013,0,72y2013,1,30
72g13,72,b,2,198,16,2013,0,72y2013,1,4
72b13,72,c,2,198,16,2013,0,72y2013,1,30
72bk13,72,d,2,198,16,2013,0,72y2013,1,30
75r13,75,a,-4,192,10,2013,0,75y2013,1,30
75g13,75,b,-4,192,10,2013,0,75y2013,1,30
77r13,77,a,2,198,16,2013,0,77y2013,1,30
77g13,77,b,3,199,17,2013,0,77y2013,1,30
77b13,77,c,5,201,19,2013,0,77y2013,1,30
79r13,79,a,3,199,17,2013,1,79y2013,1,30
79g13,79,b,5,201,19,2013,1,79y2013,1,30
79b13,79,c,5,201,19,2013,1,79y2013,1,7
79bk13,79,d,10,206,24,2013,1,79y2013,1,8
85r13,85,a,6,202,20,2013,1,85y2013,1,30
85g13,85,b,8,204,22,2013,1,85y2013,1,30
98r13,98,a,-3,193,10,2013,0,98y2013,1,7
98g13,98,b,-2,194,10,2013,0,98y2013,1,10
98b13,98,c,-1,195,11,2013,0,98y2013,1,9
98bk13,98,d,-3,197,13,2013,0,98y2013,1,17
12b14,12,a,-3,184,9,2014,0,12y2014,1,30
