"","date","year","month","day","maxTemp","minTemp","meanTemp","snoGrnd","precip","wind","site","prop","yday","b_size","b_weight","b_age","trt"
"1",2015-07-16,2015,7,16,9.4,4.8,7.1,NA,0,"33",1,1,197,1,36.2416666666667,1,0
"2",2015-07-17,2015,7,17,15.8,6.1,11,NA,NA,"<31",1,1,198,2,76.2503623188406,2,0
"3",2015-07-21,2015,7,21,14.2,7.7,11,NA,2.8,"37",1,1,202,3,255.562939958592,6,0
"4",2015-07-22,2015,7,22,13.4,7.1,10.3,NA,0,"33",1,0.941666666666667,203,3,327.131501831501,7,0
"5",2015-07-23,2015,7,23,9.9,6.1,8,NA,0,"41",1,0.973611111111111,204,3,396.369597069596,8,0
"6",2015-07-24,2015,7,24,9.2,6,7.6,NA,0.6,"41",1,0.958041958041958,205,3,478.080013736263,9,0
"7",2015-07-25,2015,7,25,8.1,6.1,7.1,NA,6.6,"<31",1,0.849791376912378,206,3,566.577199477351,10,0
"8",2015-07-26,2015,7,26,13.4,6.4,9.9,NA,NA,"<31",1,0.819444444444444,207,3,687.58612804878,11,0
"9",2015-07-27,2015,7,27,12.9,6.2,9.6,NA,0,"<31",1,0.573611111111111,208,3,794.833287139689,12,0
"10",2015-07-28,2015,7,28,19.6,8.5,14.1,NA,0,"<31",1,0.751295336787565,209,3,900.76914983165,13,0
"11",2015-07-29,2015,7,29,15,8.8,11.9,NA,1.4,"<31",1,0.641025641025641,210,3,995.364983164983,14,0
"12",2015-07-30,2015,7,30,15.9,10.1,13,NA,0.4,"56",1,0.834722222222222,211,3,1096.0468013468,15,0
"13",2015-07-31,2015,7,31,11.9,7.3,9.6,NA,5.4,"78",1,0.889818688981869,212,3,1210.59177489177,16,0
"14",2015-08-01,2015,8,1,8.1,6.7,7.4,NA,19.2,"59",1,0.818407960199005,213,3,1354.3525592055,17,0
"15",2015-08-02,2015,8,2,10.4,6.5,8.5,NA,12.8,"52",1,0.637517630465444,214,1,1363.18344155844,18,0
"16",2015-08-03,2015,8,3,9.7,6.8,8.3,NA,1.8,"37",1,0.427966101694915,215,1,1380.613997114,19,0
"17",2015-07-18,2015,7,18,9.5,5.8,7.7,NA,1.6,"46",119,0.997916666666667,199,1,36.2416666666667,1,0
"18",2015-07-18,2015,7,18,9.5,5.8,7.7,NA,1.6,"46",119,0.997916666666667,199,1,36.2416666666667,1,1
