"","date","ind","site","alive","surv","age","year","m_weight","sd_weight"
"1",2014-07-10,"100b14",100,1,1,1,2014,33.5,1.73205080756888
"2",2014-07-11,"100b14",100,1,1,2,2014,36.2416666666667,4.81771339110584
"3",2014-07-12,"100b14",100,1,1,3,2014,40.0086956521739,8.52919654339665
"4",2014-07-13,"100b14",100,1,1,4,2014,51.4782608695652,15.2996421978881
"5",2014-07-14,"100b14",100,1,1,5,2014,60.7391304347826,13.7781691332351
"6",2014-07-15,"100b14",100,1,1,6,2014,84.6904761904762,20.5479666019543
"7",2014-07-16,"100b14",100,1,1,7,2014,110.133333333333,34.4020181177604
"8",2014-07-17,"100b14",100,1,1,8,2014,132.307692307692,43.6183917925008
"9",2014-07-18,"100b14",100,1,1,9,2014,153.928571428571,47.7741046945422
"10",2014-07-19,"100b14",100,1,1,10,2014,191.84375,48.8685593066716
"11",2014-07-20,"100b14",100,1,1,11,2014,220.80487804878,65.384332799301
"12",2014-07-21,"100b14",100,1,1,12,2014,274.9375,64.2240544240759
"13",2014-07-22,"100b14",100,1,1,13,2014,299.090909090909,89.4175089626797
"14",2014-07-23,"100b14",100,1,1,14,2014,326.740740740741,95.5999648344772
"15",2014-07-24,"100b14",100,1,1,15,2014,369.533333333333,71.1912108742865
"16",2014-07-25,"100b14",100,1,1,16,2014,399.772727272727,97.1529275519986
"17",2014-07-26,"100b14",100,1,1,17,2014,441.285714285714,143.890678893831
"18",2014-07-27,"100b14",100,1,1,18,2014,513.294117647059,115.362344758744
"19",2014-07-28,"100b14",100,1,1,19,2014,522.125,127.961908394647
"20",2014-07-29,"100b14",100,1,1,20,2014,539.555555555556,106.514965655051
"21",2014-07-30,"100b14",100,1,1,21,2014,564.764705882353,104.064973533738
"22",2014-07-31,"100b14",100,1,1,22,2014,577.681818181818,111.557111729774
"23",2014-08-01,"100b14",100,1,1,23,2014,654.333333333333,117.646877896474
"24",2014-08-02,"100b14",100,1,1,24,2014,652.45,130.09732187057
"25",2014-08-03,"100b14",100,1,1,25,2014,701.545454545455,126.553104709795
"26",2014-08-04,"100b14",100,1,1,26,2014,576.96,153.987683490163
"27",2014-08-05,"100b14",100,1,1,27,2014,623.866666666667,123.757173914235
"28",2014-08-06,"100b14",100,1,1,28,2014,714.818181818182,141.872349795031
"29",2014-08-07,"100b14",100,1,1,29,2014,658.571428571429,91.4327752009769
"30",2014-08-08,"100b14",100,1,1,30,2014,692.5,124.801026823886
"31",2014-08-09,"100b14",100,1,1,31,2014,671.714285714286,178.664250161341
"32",2014-08-10,"100b14",100,1,1,32,2014,581.307692307692,134.305239793157
"33",2014-08-11,"100b14",100,1,1,33,2014,659.4,49.2321033473078
"34",2014-08-12,"100b14",100,1,1,34,2014,838.25,35.1318943411823
"35",2014-08-13,"100b14",100,1,1,35,2014,651.5,2.12132034355964
"36",2014-08-14,"100b14",100,1,1,36,2014,NA,NA
"37",2014-08-15,"100b14",100,1,1,37,2014,NA,NA
"38",2014-08-16,"100b14",100,1,1,38,2014,NA,NA
"39",2014-08-17,"100b14",100,1,1,39,2014,NA,NA
"40",2014-08-18,"100b14",100,1,1,40,2014,NA,NA
"41",2014-08-19,"100b14",100,1,1,41,2014,NA,NA
"42",2014-08-20,"100b14",100,1,1,42,2014,NA,NA
"43",2014-08-21,"100b14",100,1,1,43,2014,NA,NA
"44",2014-08-22,"100b14",100,1,1,44,2014,NA,NA
"45",2014-08-23,"100b14",100,1,1,45,2014,NA,NA
"46",2014-08-24,"100b14",100,1,1,46,2014,NA,NA
"47",2014-08-25,"100b14",100,1,1,47,2014,NA,NA
"48",2014-08-26,"100b14",100,1,1,48,2014,NA,NA
"49",2014-08-27,"100b14",100,1,1,49,2014,NA,NA
"50",2014-08-28,"100b14",100,1,1,50,2014,NA,NA
