"","date","year","month","day","maxTemp","minTemp","meanTemp","snoGrnd","precip","wind","site","prop"
"1",2015-06-17,2015,6,17,6.8,1.5,4.2,2,3.8,"46",1,0.986522911051213
"2",2015-06-18,2015,6,18,11,0.2,5.6,1,0,"41",1,1
"3",2015-06-19,2015,6,19,9.7,2.3,6,1,0,"48",1,0.99586435070306
"4",2015-06-26,2015,6,26,12.4,3.2,7.8,1,1,"69",1,0.994293865905849
"5",2015-06-27,2015,6,27,9.4,3.3,6.4,1,0.4,"<31",1,1
"6",2015-06-28,2015,6,28,14.1,3.2,8.7,1,0,"43",1,0.98125
"7",2015-06-29,2015,6,29,16.3,4.6,10.5,0,0,"44",1,1
"8",2015-07-06,2015,7,6,15,5.3,10.2,NA,0,"<31",1,0.997385620915033
"9",2015-07-07,2015,7,7,10,4.8,7.4,NA,8.6,"32",1,1
"10",2015-07-08,2015,7,8,12.1,6.1,9.1,NA,16.8,"46",1,0.99375
"11",2015-07-09,2015,7,9,9.3,4.6,7,NA,0.4,"44",1,1
"12",2015-07-14,2015,7,14,16.7,8.2,12.5,NA,0,"<31",1,0.978456014362657
"13",2015-07-15,2015,7,15,14.4,6.1,10.3,NA,0,"<31",1,0.997916666666667
"14",2015-07-16,2015,7,16,9.4,4.8,7.1,NA,0,"33",1,1
"15",2015-07-17,2015,7,17,15.8,6.1,11,NA,NA,"<31",1,0.99789029535865
"16",2015-07-21,2015,7,21,14.2,7.7,11,NA,2.8,"37",1,0.983981693363844
"17",2015-07-22,2015,7,22,13.4,7.1,10.3,NA,0,"33",1,0.933425797503467
"18",2015-07-23,2015,7,23,9.9,6.1,8,NA,0,"41",1,0.973574408901252
"19",2015-07-24,2015,7,24,9.2,6,7.6,NA,0.6,"41",1,0.959440559440559
"20",2015-07-25,2015,7,25,8.1,6.1,7.1,NA,6.6,"<31",1,0.84958217270195
"21",2015-07-26,2015,7,26,13.4,6.4,9.9,NA,NA,"<31",1,0.814147018030513
"22",2015-07-27,2015,7,27,12.9,6.2,9.6,NA,0,"<31",1,0.572815533980582
"23",2015-07-28,2015,7,28,19.6,8.5,14.1,NA,0,"<31",1,0.756476683937824
"24",2015-07-29,2015,7,29,15,8.8,11.9,NA,1.4,"<31",1,0.642628205128205
"25",2015-07-30,2015,7,30,15.9,10.1,13,NA,0.4,"56",1,0.833564493758668
"26",2015-07-31,2015,7,31,11.9,7.3,9.6,NA,5.4,"78",1,0.888268156424581
"27",2015-08-01,2015,8,1,8.1,6.7,7.4,NA,19.2,"59",1,0.811414392059553
"28",2015-08-02,2015,8,2,10.4,6.5,8.5,NA,12.8,"52",1,0.639830508474576
