"","adults_01","Image_name","site","date","month","yday","hour","adult","nestling","sband","bband","day_night","eggs"
"1",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_1737 (7).JPG",1,2016-08-07 17:18:07,8,220,17,0,1,0,0,"day",NA
"2",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2232 (6).JPG",1,2016-08-05 08:21:38,8,218,8,0,3,0,0,"day",NA
"3",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_0561 (5).JPG",1,2016-07-28 13:19:21,7,210,13,0,2,0,0,"day",NA
"4",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2882 (7).JPG",1,2016-08-08 12:24:25,8,221,12,0,3,1,0,"day",NA
"5",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/2016-07-16 02-46-10 PM M 02_03.JPG",1,2016-07-16 08:46:10,7,198,8,0,1,0,0,"day",NA
"6",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_0695 (5).JPG",1,2016-07-28 14:24:42,7,210,14,0,3,0,0,"day",NA
"7",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_4638 (4).JPG",1,2016-07-30 14:50:34,7,212,14,0,3,0,0,"day",NA
"8",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_5391 (3).JPG",1,2016-07-30 07:55:06,7,212,7,0,3,0,0,"day",NA
"9",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_3724.JPG",1,2016-06-18 15:01:01,6,170,15,1,0,0,0,"day",NA
"10",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_7234 (3).JPG",1,2016-07-31 09:40:09,7,213,9,1,2,0,0,"day",NA
"11",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_3698 (2).JPG",1,2016-06-27 18:37:57,6,179,18,1,0,0,0,"day",NA
"12",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_0799 (3).JPG",1,2016-07-03 11:05:38,7,185,11,1,0,0,0,"day",NA
"13",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_6804 (2).JPG",1,2016-07-09 11:05:12,7,191,11,1,0,0,0,"day",NA
"14",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/2016-07-19 09-53-08 PM M 02_03.JPG",1,2016-07-19 15:53:08,7,201,15,1,1,0,0,"day",NA
"15",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_2265 (2).JPG",1,2016-06-25 18:53:50,6,177,18,1,0,0,0,"day",NA
"16",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_5666.JPG",1,2016-06-30 10:13:59,6,182,10,1,0,0,0,"day",NA
"17",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0083 (4).JPG",3,2016-08-04 17:04:38,8,217,17,0,1,0,0,"day",NA
"18",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1971 (2).JPG",3,2016-08-13 07:38:22,8,226,7,0,1,1,0,"day",NA
"19",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0277 (3).JPG",3,2016-08-05 14:49:42,8,218,14,0,1,0,0,"day",NA
"20",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1800 (2).JPG",3,2016-08-12 14:04:24,8,225,14,0,1,0,0,"day",NA
"21",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0095 (5).JPG",3,2016-08-09 12:50:50,8,222,12,0,1,0,0,"day",NA
"22",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0526 (3).JPG",3,2016-08-06 11:51:48,8,219,11,0,1,0,0,"day",NA
"23",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1144 (3).JPG",3,2016-08-07 08:13:12,8,220,8,0,1,0,0,"day",NA
"24",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0627 (4).JPG",3,2016-08-10 18:34:00,8,223,18,0,1,0,0,"day",NA
"25",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0714 (3).JPG",3,2016-08-07 02:13:50,8,220,2,0,1,0,0,"night",NA
"26",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0712 (3).JPG",3,2016-08-07 02:13:40,8,220,2,0,1,0,0,"night",NA
"27",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_2233.JPG",3,2016-07-29 03:38:46,7,211,3,0,3,0,0,"night",NA
"28",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0995 (4).JPG",3,2016-08-11 01:54:46,8,224,1,0,1,0,0,"night",NA
"29",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0813 (3).JPG",3,2016-08-07 02:38:42,8,220,2,0,1,0,0,"night",NA
"30",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0908 (4).JPG",3,2016-08-11 01:06:52,8,224,1,0,1,0,0,"night",NA
"31",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0238 (4).JPG",3,2016-08-10 02:27:38,8,223,2,0,1,1,0,"night",NA
"32",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1893 (2).JPG",3,2016-08-13 01:13:20,8,226,1,0,1,0,0,"night",NA
"33",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1168 (3).JPG",3,2016-08-07 09:40:06,8,220,9,1,1,0,0,"day",NA
"34",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0958 (2).JPG",3,2016-07-26 19:45:54,7,208,19,1,0,0,0,"day",NA
"35",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1469 (2).JPG",3,2016-07-27 10:50:58,7,209,10,1,0,1,1,"day",NA
"36",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0502.JPG",3,2016-07-21 07:48:08,7,203,7,1,0,0,0,"day",NA
"37",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0154 (2).JPG",3,2016-07-24 12:32:54,7,206,12,1,2,0,0,"day",NA
"38",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1010.JPG",3,2016-07-23 10:45:54,7,205,10,1,0,0,0,"day",NA
"39",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0488.JPG",3,2016-07-21 07:13:08,7,203,7,1,0,0,0,"day",NA
