"","Image_name","site","date","month","yday","hour","adult","nestling","sband","bband","eggs","day_night"
"1","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_1480 (4).JPG",1,2016-07-23 17:17:47,7,205,17,1,0,0,0,0,"day"
"2","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2559 (4).JPG",1,2016-07-25 13:49:54,7,207,13,1,0,0,0,0,"day"
"3","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2884 (4).JPG",1,2016-07-25 17:07:16,7,207,17,0,1,0,0,0,"day"
"4","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_0460 (2).JPG",1,2016-06-22 11:33:07,6,174,11,1,0,0,0,0,"day"
"5","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_1033 (2).JPG",1,2016-06-23 12:24:17,6,175,12,1,0,0,0,0,"day"
"6","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_5817.JPG",1,2016-06-30 09:16:00,6,182,9,1,0,0,0,3,"day"
"7","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4312.JPG",1,2016-06-19 14:43:23,6,171,14,1,0,0,0,1,"day"
"8","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4688.JPG",1,2016-06-20 07:10:55,6,172,7,1,0,0,0,1,"day"
"9","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_0929 (3).JPG",1,2016-07-03 13:42:45,7,185,13,1,0,0,0,1,"day"
"10","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4436.JPG",1,2016-06-20 10:04:38,6,172,10,1,0,0,0,2,"day"
"11","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1423 (2).JPG",3,2016-07-27 08:14:24,7,209,8,1,1,0,0,0,"day"
