ID,Site,StudyArea,Year,species,HatchDate,DayNumber,Method,LayDate,LayMethod
1Rankin,1,Rankin,2019,PEFA,7/17/2019,198,Camera,,
4Rankin,4,Rankin,2019,PEFA,7/17/2019,198,Camera,,
8Rankin,8,Rankin,2019,PEFA,7/16/2019,197,Photo Aging Guide,,
12Rankin,12,Rankin,2019,PEFA,7/14/2019,195,Camera,,
23Rankin,23,Rankin,2019,PEFA,7/14/2019,195,Camera,,
30Rankin,30,Rankin,2019,PEFA,7/16/2019,197,Camera,,
37Rankin,37,Rankin,2019,PEFA,7/20/2019,201,Camera,,
39Rankin,39,Rankin,2019,PEFA,7/15/2019,196,Camera,,
40Rankin,40,Rankin,2019,PEFA,7/23/2019,204,Photo Aging Guide,,
45Rankin,45,Rankin,2019,PEFA,7/19/2019,200,Camera,,
52Rankin,52,Rankin,2019,PEFA,7/17/2019,198,Camera,,
58Rankin,58,Rankin,2019,PEFA,7/18/2019,199,Photo Aging Guide,,
59Rankin,59,Rankin,2019,PEFA,7/12/2019,193,Camera,,
61Rankin,61,Rankin,2019,PEFA,7/18/2019,199,Camera,,
75Rankin,75,Rankin,2019,PEFA,7/15/2019,196,Camera,,
95Rankin,95,Rankin,2019,PEFA,7/19/2019,200,Photo Aging Guide,,
98Rankin,98,Rankin,2019,PEFA,7/20/2019,201,Photo Aging Guide,,
105Rankin,105,Rankin,2019,PEFA,7/14/2019,195,Camera,,
151Rankin,151,Rankin,2019,PEFA,7/19/2018,200,Camera,,
1Rankin,1,Rankin,2018,PEFA,7/18/2018,199,Camera,,
3Rankin,3,Rankin,2018,PEFA,7/18/2018,199,Camera,,
18Rankin,18,Rankin,2018,PEFA,7/14/2018,195,Camera,,
22Rankin,22,Rankin,2018,PEFA,7/12/2018,193,Camera,,
23Rankin,23,Rankin,2018,PEFA,7/14/2018,195,Camera,,
29Rankin,29,Rankin,2018,PEFA,7/13/2018,194,Camera,,
30Rankin,30,Rankin,2018,PEFA,7/17/2018,198,Photo Aging Guide,,
33Rankin,33,Rankin,2018,PEFA,7/20/2018,201,Camera,,
40Rankin,40,Rankin,2018,PEFA,7/19/2018,200,Camera,,
45Rankin,45,Rankin,2018,PEFA,7/19/2018,200,Camera,,
47Rankin,47,Rankin,2018,PEFA,7/22/2018,203,Camera,,
51Rankin,51,Rankin,2018,PEFA,7/16/2018,197,Camera,,
53Rankin,53,Rankin,2018,PEFA,7/18/2018,199,Camera,,
57Rankin,57,Rankin,2018,PEFA,7/17/2018,198,Camera,,
75Rankin,75,Rankin,2018,PEFA,7/12/2018,193,Camera,,
77Rankin,77,Rankin,2018,PEFA,7/17/2018,198,Camera,,
78Rankin,78,Rankin,2018,PEFA,7/18/2018,199,Camera,,
80Rankin,80,Rankin,2018,PEFA,7/16/2018,197,Camera,,
97Rankin,97,Rankin,2018,PEFA,7/15/2018,196,Camera,,
147Rankin,147,Rankin,2018,PEFA,7/15/2018,196,Camera,,
1Rankin,1,Rankin,2017,PEFA,7/9/2017,190,Camera,6/3/2017,camera
5Rankin,5,Rankin,2017,PEFA,7/15/2017,196,Camera,6/10/2017,camera
8Rankin,8,Rankin,2017,PEFA,7/5/2017,186,Camera,6/3/2017,estimate
12Rankin,12,Rankin,2017,PEFA,7/6/2017,187,Camera,5/31/2017,estimate
18Rankin,18,Rankin,2017,PEFA,7/11/2017,192,Camera,6/4/2017,estimate
19Rankin,19,Rankin,2017,PEFA,7/13/2017,194,Camera,6/4/2017,estimate
22Rankin,22,Rankin,2017,PEFA,7/8/2017,189,Camera,6/1/2017,estimate
23Rankin,23,Rankin,2017,PEFA,7/13/2017,194,Camera,6/7/2017,estimate
28Rankin,28,Rankin,2017,PEFA,7/13/2017,194,Camera,-99,na
30Rankin,30,Rankin,2017,PEFA,7/11/2017,192,Camera,6/5/2017,estimate
31Rankin,31,Rankin,2017,PEFA,7/14/2017,195,Camera,6/8/2017,estimate
33Rankin,33,Rankin,2017,PEFA,7/9/2017,190,Camera,6/3/2017,estimate
42Rankin,42,Rankin,2017,PEFA,7/13/2017,194,Camera,6/5/2017,estimate
51Rankin,51,Rankin,2017,PEFA,7/10/2017,191,Camera,6/6/2017,estimate
53Rankin,53,Rankin,2017,PEFA,7/11/2017,192,Camera,6/5/2017,estimate
58Rankin,58,Rankin,2017,PEFA,7/16/2017,197,Camera,6/7/2017,estimate
59Rankin,59,Rankin,2017,PEFA,7/12/2017,193,Camera,6/3/2017,estimate
63Rankin,63,Rankin,2017,PEFA,7/17/2017,198,Estimated via retrcies and chick weight,-99,na
75Rankin,75,Rankin,2017,PEFA,7/23/2017,204,Camera,-99,na
77Rankin,77,Rankin,2017,PEFA,7/8/2017,189,Camera,6/1/2017,estimate
78Rankin,78,Rankin,2017,PEFA,7/10/2017,191,Camera,6/8/2017,estimate
89Rankin,89,Rankin,2017,PEFA,7/11/2017,192,Camera,6/4/2017,estimate
95Rankin,95,Rankin,2017,PEFA,7/13/2017,194,Camera,6/7/2017,estimate
97Rankin,97,Rankin,2017,PEFA,7/8/2017,189,Camera,6/1/2017,estimate
98Rankin,98,Rankin,2017,PEFA,7/15/2017,196,Camera,6/9/2017,estimate
100Rankin,100,Rankin,2017,PEFA,7/10/2017,191,Camera,6/8/2017,estimate
145Rankin,145,Rankin,2017,PEFA,7/11/2017,192,Camera,6/6/2017,estimate
147Rankin,147,Rankin,2017,PEFA,7/6/2017,187,Camera,6/1/2017,estimate
1Rankin,1,Rankin,2016,PEFA,7/14/2016,196,Camera,6/8/2016,estimate
3Rankin,3,Rankin,2016,PEFA,7/15/2016,197,Camera,6/8/2016,estimate
4Rankin,4,Rankin,2016,PEFA,7/15/2016,197,Camera,6/9/2016,camera
8Rankin,8,Rankin,2016,PEFA,7/7/2016,189,Camera,6/3/2016,estimate
12Rankin,12,Rankin,2016,PEFA,7/9/2016,191,Camera,6/5/2016,estimate
15Rankin,15,Rankin,2016,PEFA,7/11/2016,193,Camera,6/4/2016,camera
19Rankin,19,Rankin,2016,PEFA,7/17/2016,199,CHECK CAMERA,6/7/2016,estimate
23Rankin,23,Rankin,2016,PEFA,7/14/2016,196,CHECK CAMERA,6/10/2016,estimate
31Rankin,31,Rankin,2016,PEFA,7/19/2016,201,Camera,6/12/2016,camera
37Rankin,37,Rankin,2016,PEFA,7/11/2016,193,Estimated via retrcies and chick weight,6/7/2016,estimate
41Rankin,41,Rankin,2016,PEFA,7/14/2016,196,Estimated via retrcies and chick weight,6/8/2016,estimate
42Rankin,42,Rankin,2016,PEFA,7/15/2016,197,Estimated via retrcies and chick weight,-99,na
51Rankin,51,Rankin,2016,PEFA,7/18/2016,200,Camera,6/10/2016,estimate
53Rankin,53,Rankin,2016,PEFA,7/10/2016,192,Camera,6/5/2016,estimate
